	Depth	Sample 1	Sample 2	Sample 3	Sample 4	Sample 5	Sample 6	Sample 7
1	0	25.5	28.1	22.5	25.1	24.9	24.9	21.7
2	0.3048	25.5	28.1	22.5	25.1	24.9	24.9	21.7
3	0.6096	25.4	27.6	22.2	25	24.9	24.9	21.7
4	0.9144	25.4	27.6	21.7	25	24.9	24.9	21.7
5	1.2192	25.4	27.5	21.7	25.1	24.9	24.9	21.6
6	1.524	25.4	26.6	21.8	25.1	24.9	24.9	21.6
7	1.8288	25.4	24.5	25.6	26.3	24.9	24.9	21.6
8	2.1336	25.3	26.7	26.5	27.2	27.1	25.3	22.6
9	2.4384	26.7	27.2	27	27.5	27.6	26.2	25.2
10	2.7432	26.5	27.1	27	27.5	27.4	26.2	26.3
11	3.048	25.5	26.4	26.4	26.9	26.8	25.7	26.3
12	3.3528	24.8	25.3	25.6	26.4	25.6	24.9	25.2
13	3.6576	23.9	24.5	24.9	25.1	24.4	24.2	23.8
14	3.9624	22.5	23.2	24	23	23.2	23.2	22.7
15	4.2672	21.1	21.3	23	21.5	21.9	21.8	21.6
16	4.572	19.8	19.6	20.8	20	20.2	20.6	20.3
17	4.8768	17.8	18	17.6	18.1	17.6	18.8	19
18	5.1816	16.7	16.5	16.3	16.9			
